square_id,time_interval,internet_total
4259,1383260400000,261.68029483973805
4259,1383261000000,189.4226725206153
4259,1383261600000,231.89798203794948
4259,1383262200000,246.79916779898764
4259,1383262800000,199.1108073556199
4259,1383263400000,240.9476118012075
4259,1383264000000,220.2292230714177
4259,1383264600000,224.6807843321316
4259,1383265200000,202.42273286060572
4259,1383265800000,207.1033304147897
4259,1383266400000,203.42055673981963
4259,1383267000000,211.2664280661577
4259,1383267600000,205.7042082070966
4259,1383268200000,231.44287439528674
4259,1383268800000,201.21552591979466
4259,1383269400000,198.77834701969243
4259,1383270000000,221.19535845043444
4259,1383270600000,199.44398738934552
4259,1383271200000,198.65830371859076
4259,1383271800000,260.8874837537318
4259,1383272400000,245.44957524341677
4259,1383273000000,174.7581698010806
4259,1383273600000,200.253134359947
4259,1383274200000,164.24282029851582
4259,1383274800000,168.3734477195269
4259,1383275400000,152.43372291926778
4259,1383276000000,177.91557808009108
4259,1383276600000,130.82153523005357
4259,1383277200000,136.13468614576806
4259,1383277800000,142.6927325991586
4259,1383278400000,140.21218178887287
4259,1383279000000,176.5367563844521
4259,1383279600000,125.59520157542254
4259,1383280200000,131.16324096069957
4259,1383280800000,130.29008729467927
4259,1383281400000,114.78842153618045
4259,1383282000000,109.17697783410841
4259,1383282600000,133.36163365115172
4259,1383283200000,151.78110664956128
4259,1383283800000,110.04547222065649
4259,1383284400000,172.52841122524546
4259,1383285000000,116.66246562645034
4259,1383285600000,109.38105834685011
4259,1383286200000,110.03030505301854
4259,1383286800000,117.5212943172105
4259,1383287400000,131.662534150724
4259,1383288000000,111.48673161473374
4259,1383288600000,107.83279583297794
4259,1383289200000,103.36638923983905
4259,1383289800000,110.84602462045245
4259,1383290400000,155.6016028222812
4259,1383291000000,114.1909661056366
4259,1383291600000,116.57947835003515
4259,1383292200000,126.57410920594832
4259,1383292800000,111.88915321014612
4259,1383293400000,131.34207141927413
4259,1383294000000,133.19539885026703
4259,1383294600000,140.0598892560371
4259,1383295200000,155.759543203925
4259,1383295800000,129.7385485752966
4259,1383296400000,137.49353144811818
4259,1383297000000,152.3669778973321
4259,1383297600000,127.84030261545605
4259,1383298200000,124.67513281833962
4259,1383298800000,155.76527885623642
4259,1383299400000,129.60689030190403
4259,1383300000000,139.26453564009915
4259,1383300600000,149.11463026932222
4259,1383301200000,128.73984296481143
4259,1383301800000,146.9504718986336
4259,1383302400000,134.67341425062426
4259,1383303000000,133.56563908170006
4259,1383303600000,135.30658658760007
4259,1383304200000,165.7494989649283
4259,1383304800000,244.07887576117713
4259,1383305400000,197.651306461688
4259,1383306000000,159.1629469044582
4259,1383306600000,128.889748099826
4259,1383307200000,216.7999890840147
4259,1383307800000,193.395053166139
4259,1383308400000,143.67895842768328
4259,1383309000000,114.97577353579219
4259,1383309600000,120.58582609745363
4259,1383310200000,125.56479353092674
4259,1383310800000,117.80287256451722
